avg_word_length,num_sentences,num_words,perplexity,type
3.58955223880597,8,134,7.0,human_answers
3.506849315068493,2,73,8.0,human_answers
3.774193548387097,3,62,7.0,human_answers
4.044444444444444,7,225,13.0,chatgpt_answers
3.9797979797979797,4,99,8.0,chatgpt_answers_with_SDE_prompt
4.073170731707317,2,41,8.0,human_answers
3.75,4,116,9.0,human_answers
4.084615384615384,16,260,9.0,human_answers
4.27027027027027,8,222,14.0,chatgpt_answers
3.625,4,80,8.0,chatgpt_answers_with_SDE_prompt
3.7289156626506026,3,166,23.0,human_answers
3.769230769230769,3,39,4.0,human_answers
4.371841155234657,9,277,14.0,human_answers
3.764705882352941,9,170,9.0,chatgpt_answers
4.227848101265823,3,79,11.0,chatgpt_answers_with_SDE_prompt
4.032786885245901,6,122,10.0,human_answers
3.923076923076923,2,26,7.0,human_answers
4.452830188679245,3,53,10.0,human_answers
4.955696202531645,7,158,14.0,chatgpt_answers
4.406976744186046,4,86,12.0,chatgpt_answers_with_SDE_prompt
4.454545454545454,1,11,6.0,human_answers
4.337423312883436,6,163,14.0,human_answers
4.115044247787611,4,113,9.0,human_answers
4.657657657657658,9,222,13.0,chatgpt_answers
4.28125,5,96,12.0,chatgpt_answers_with_SDE_prompt
4.291666666666667,4,96,10.0,human_answers
4.257142857142857,7,70,5.0,human_answers
4.071428571428571,4,70,9.0,human_answers
4.14344262295082,8,244,12.0,chatgpt_answers
4.510869565217392,5,92,12.0,chatgpt_answers_with_SDE_prompt
3.717948717948718,3,39,6.0,human_answers
4.529411764705882,2,34,9.0,human_answers
4.074626865671642,3,67,9.0,human_answers
4.616740088105727,8,227,15.0,chatgpt_answers
3.7777777777777777,5,99,8.0,chatgpt_answers_with_SDE_prompt
4.078014184397163,4,141,9.0,human_answers
4.267605633802817,4,71,10.0,human_answers
3.73728813559322,7,118,7.0,human_answers
3.887596899224806,10,258,12.0,chatgpt_answers
3.917525773195876,4,97,8.0,chatgpt_answers_with_SDE_prompt
3.7491057741440983,82,1957,9.0,human_answers
4.161458333333333,9,192,10.0,human_answers
3.8739495798319328,10,238,10.0,human_answers
4.25531914893617,10,235,12.0,chatgpt_answers
4.758241758241758,4,91,15.0,chatgpt_answers_with_SDE_prompt
4.3768115942028984,5,138,12.0,human_answers
3.980392156862745,3,51,7.0,human_answers
4.504504504504505,8,111,8.0,human_answers
4.357723577235772,12,246,11.0,chatgpt_answers
3.9285714285714284,5,98,8.0,chatgpt_answers_with_SDE_prompt
4.119047619047619,3,84,13.0,human_answers
3.676470588235294,4,68,6.0,human_answers
4.276595744680851,3,47,8.0,human_answers
4.193548387096774,7,186,12.0,chatgpt_answers
3.808080808080808,5,99,7.0,chatgpt_answers_with_SDE_prompt
3.928270042194093,9,237,10.0,human_answers
4.798780487804878,9,164,12.0,human_answers
4.031746031746032,15,441,11.0,human_answers
4.95,10,180,12.0,chatgpt_answers
4.891304347826087,5,92,11.0,chatgpt_answers_with_SDE_prompt
3.651282051282051,8,195,7.0,human_answers
3.925287356321839,6,174,10.0,human_answers
3.9612403100775193,7,129,8.0,human_answers
4.246913580246914,16,324,10.0,chatgpt_answers
5.28,4,100,16.0,chatgpt_answers_with_SDE_prompt
4.138709677419355,11,310,14.0,human_answers
3.7866666666666666,2,75,9.0,human_answers
3.8287461773700304,15,327,7.0,human_answers
4.312138728323699,8,173,11.0,chatgpt_answers
4.12,4,100,11.0,chatgpt_answers_with_SDE_prompt
4.279661016949152,5,118,12.0,human_answers
3.8620689655172415,2,116,22.0,human_answers
3.7037037037037037,1,27,12.0,human_answers
4.047272727272727,9,275,8.0,chatgpt_answers
4.757575757575758,6,99,13.0,chatgpt_answers_with_SDE_prompt
3.1363636363636362,2,22,1.0,human_answers
3.3877551020408165,2,49,7.0,human_answers
4.258706467661692,12,201,8.0,human_answers
4.080568720379147,9,211,11.0,chatgpt_answers
4.875,4,88,18.0,chatgpt_answers_with_SDE_prompt
4.055555555555555,1,18,8.0,human_answers
3.9743589743589745,3,39,6.0,human_answers
